Region,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
National Total,54.49,55.75,57.33,58.84,60.24,61.50,62.71,63.89,64.72,65.22
Beijing,86.39,86.50,86.71,86.76,86.93,87.09,87.36,87.55,87.60,87.57
Tianjin,82.29,82.55,82.88,83.27,83.57,83.95,84.31,84.70,84.88,85.11
Hebei,48.02,49.36,51.57,53.87,55.74,57.33,58.77,60.07,61.14,61.65
Shanxi,52.88,54.30,55.87,57.27,58.59,59.85,61.29,62.53,63.42,63.86
Inner Mongolia,59.82,60.97,62.09,63.40,64.60,65.51,66.46,67.48,68.21,68.60
Liaoning,66.45,67.05,68.05,68.87,69.49,70.26,71.21,72.14,72.81,73.00
Jilin,55.74,56.81,57.64,58.75,59.71,60.85,61.63,62.64,63.36,63.72
Heilongjiang,58.04,59.22,60.47,61.09,61.90,63.46,64.62,65.61,65.69,66.21
Shanghai,89.60,89.30,88.53,89.00,89.10,89.13,89.22,89.30,89.30,89.33
Jiangsu,64.39,65.70,67.49,68.93,70.18,71.19,72.47,73.44,73.94,74.42
Zhejiang,63.94,64.96,66.32,67.72,68.91,70.02,71.58,72.17,72.66,73.38
Anhui,47.87,49.31,50.97,52.62,54.29,55.65,57.02,58.33,59.39,60.15
Fujian,60.80,61.99,63.22,64.39,65.78,66.98,67.87,68.75,69.70,70.11
Jiangxi,49.04,50.55,52.30,53.99,55.70,57.34,59.07,60.44,61.46,62.07
Shandong,53.46,54.77,56.97,59.13,60.79,61.46,61.86,63.05,63.94,64.54
Henan,43.60,45.05,47.02,48.78,50.55,52.24,54.01,55.43,56.45,57.07
Hubei,54.51,55.73,57.18,58.57,59.88,61.00,61.81,62.89,64.09,64.67
Hunan,47.63,48.98,50.79,52.70,54.62,56.09,57.45,58.76,59.71,60.31
Guangdong,68.09,68.62,69.51,70.15,70.74,71.81,72.65,74.15,74.63,74.79
Guangxi,45.11,45.54,47.99,49.24,50.59,51.82,52.98,54.20,55.08,55.65
Hainan,52.28,53.30,54.91,56.70,58.04,59.13,59.37,60.27,60.97,61.49
Chongqing,58.29,59.74,61.47,63.33,65.00,66.61,68.24,69.46,70.32,70.96
Sichuan,44.96,46.51,48.27,50.00,51.78,53.50,55.36,56.73,57.82,58.35
Guizhou,37.89,40.24,42.96,45.56,47.76,49.54,51.48,53.15,54.33,54.81
Yunnan,39.99,41.21,42.93,44.64,46.29,47.44,48.67,50.05,51.05,51.72
Tibet,23.93,26.23,28.87,31.57,33.38,33.80,34.51,35.73,36.61,37.39
Shaanxi,51.57,53.01,54.74,56.39,58.07,59.65,61.28,62.66,63.63,64.02
Gansu,40.50,42.28,44.24,46.07,48.12,49.69,50.70,52.23,53.33,54.19
Qinghai,49.29,50.84,51.67,53.55,55.45,57.27,58.78,60.08,61.02,61.43
Ningxia,52.84,54.82,56.98,58.74,60.95,62.15,63.63,64.96,66.04,66.34
Xinjiang,44.94,46.79,48.78,50.42,51.90,54.01,55.51,56.53,57.26,57.89